ProductID,Date,Zip,Units,Revenue,Country
2136,05/12/2021,101001,1,419.95,Nigeria
2055,05/04/2016,101001,1,569.57,Nigeria
2055,05/17/2017,101001,1,569.57,Nigeria
2055,06/05/2017,101001,1,569.57,Nigeria
2055,10/29/2017,101001,1,569.57,Nigeria
2090,09/26/2020,101001,1,367.45,Nigeria
2055,06/16/2018,101001,1,577.45,Nigeria
2055,07/31/2018,101001,1,577.45,Nigeria
2055,10/30/2018,101001,1,569.57,Nigeria
2055,03/23/2019,101001,1,569.57,Nigeria
2055,03/26/2019,101001,1,569.57,Nigeria
2055,04/09/2019,101001,1,569.57,Nigeria
2090,09/28/2020,101001,1,356.95,Nigeria
2055,05/13/2019,101001,1,569.57,Nigeria
2055,06/29/2019,101001,1,577.45,Nigeria
2055,04/30/2018,101001,1,569.57,Nigeria
2055,05/12/2018,101001,1,569.57,Nigeria
1963,07/30/2020,101001,1,149.57,Nigeria
1964,06/09/2018,101001,1,89.2,Nigeria
1964,06/09/2018,101001,1,89.2,Nigeria
1964,07/14/2018,101001,1,89.2,Nigeria
1964,08/18/2018,101001,1,89.2,Nigeria
1964,10/30/2018,101001,1,89.2,Nigeria
1964,02/28/2019,101001,1,89.2,Nigeria
2090,03/13/2021,101001,1,356.95,Nigeria
2090,03/28/2021,101001,1,356.95,Nigeria
2090,04/18/2021,101001,1,351.7,Nigeria
2090,04/19/2021,101001,1,351.7,Nigeria
2090,06/01/2021,101001,1,351.7,Nigeria
2219,05/17/2019,101001,1,141.7,Nigeria
2219,09/21/2019,101001,1,141.7,Nigeria
2064,06/10/2018,101001,1,496.07,Nigeria
2064,06/27/2018,101001,1,496.07,Nigeria
2064,06/30/2018,101001,1,496.07,Nigeria
2064,08/19/2018,101001,1,496.07,Nigeria
2064,02/28/2019,101001,1,496.07,Nigeria
2064,08/13/2019,101001,1,498.7,Nigeria
2055,02/22/2021,101001,1,582.7,Nigeria
2055,03/20/2021,101001,1,593.2,Nigeria
2055,03/29/2021,101001,1,593.2,Nigeria
2055,04/27/2021,101001,1,582.7,Nigeria
2055,05/31/2021,101001,1,582.7,Nigeria
2055,06/12/2021,101001,1,593.2,Nigeria
2055,08/10/2021,101001,1,582.7,Nigeria
2055,08/17/2021,101001,1,593.2,Nigeria
2055,10/04/2021,101001,1,582.7,Nigeria
2055,10/19/2021,101001,1,582.7,Nigeria
2055,12/31/2021,101001,1,582.7,Nigeria
2238,07/05/2020,101001,1,125.95,Nigeria
2238,07/29/2020,101001,1,125.95,Nigeria
2238,12/27/2021,101001,1,131.2,Nigeria
1934,06/29/2021,101001,1,131.2,Nigeria
1935,07/26/2017,101001,1,136.45,Nigeria
1935,07/30/2017,101001,1,136.45,Nigeria
1935,03/28/2018,101001,1,136.45,Nigeria
1935,04/28/2018,101001,1,136.45,Nigeria
2083,02/15/2014,101001,1,309.7,Nigeria
2180,03/15/2020,101001,1,414.7,Nigeria
2235,09/15/2014,101001,1,65.57,Nigeria
2235,11/15/2014,101001,1,65.57,Nigeria
2250,08/21/2015,101001,1,120.7,Nigeria
2250,05/03/2016,101001,1,125.95,Nigeria
2250,07/23/2016,101001,1,125.95,Nigeria
2250,07/25/2016,101001,1,125.95,Nigeria
2223,04/27/2020,101001,1,230.95,Nigeria
2223,05/30/2020,101001,1,230.95,Nigeria
